"сумма док.,без НДС",% оплаты,"сумма оплачено,без НДС","сумма оплачено,с НДС ",дата докум.,Дата закр. Аванса,Дата постановки на оплату (аванс),"сумма док.,без НДС2","сумма док.,с НДС",дата докум.3,"сумма к оплате с учетом аванса,без НДС","сумма к оплате с учетом аванса,с НДС ",Дата постановки на оплату (оконч. платеж.),Контрагент
36227037.32484076,50.0,18113518.66242038,21373952.02165605,2015-08-24,2015-10-28 00:00:00,2015-09-09 00:00:00,32664140.70063694,38543686.02675159,2015-09-30 00:00:00,14550622.03821656,17169734.00509555,2015-10-21 00:00:00,2
7275000.0,50.0,3637500.0,4292250.0,2015-08-24,2015-10-28 00:00:00,2015-09-09 00:00:00,8103118.350318471,9561679.653375795,2015-09-30 00:00:00,4465618.350318471,5269429.653375795,2015-10-21 00:00:00,2
17286203.69426752,100.0,17286203.69426752,20397720.35923567,2015-08-28,2015-10-28 00:00:00,2015-09-09 00:00:00,39835372.61146497,47005739.68152867,2015-09-30 00:00:00,5262965.22292994,6210298.963057332,,4
17286203.69426752,100.0,17286203.69426752,20397720.35923567,2015-08-28,2015-10-28 00:00:00,2015-09-15 00:00:00,41678074.12738854,49180127.47031847,2016-10-19 00:00:00,7105666.738853507,8384686.75184714,2015-10-21 00:00:00,4
651685.7389614596,100.0,651685.7389614596,768989.1719745223,2015-10-09,2015-11-25 00:00:00,2015-10-21 00:00:00,3328224.496815287,3927304.906242038,2015-10-31 00:00:00,2676538.757853827,3158315.734267516,2015-11-25 00:00:00,3
1550792.267515923,15.0,232618.8401273885,274490.2313503184,2015-10-01,2015-11-25 00:00:00,2015-10-14 00:00:00,955648.0,1127664.64,2015-10-31 00:00:00,723029.1598726115,697847.1718338346,2015-11-25 00:00:00,1
39306202.03821656,50.0,19653101.01910828,23190659.20254777,2015-09-21,2015-11-25 00:00:00,2015-10-14 00:00:00,36013566.10828026,42496008.0077707,2015-10-31 00:00:00,16360465.08917198,19305348.80522293,2015-11-18 00:00:00,2
7784713.375796178,50.0,3892356.687898089,4592980.891719745,2015-09-21,2015-11-25 00:00:00,2015-10-14 00:00:00,8382031.656050955,9890797.354140127,2015-10-31 00:00:00,4489674.968152866,5297816.462420383,2015-11-18 00:00:00,2
18599307.36305732,100.0,18599307.36305732,21947182.68840764,2015-09-29,2015-11-25 00:00:00,2015-10-07 00:00:00,45280807.21019108,53431352.50802547,2015-10-31 00:00:00,14834807.25919916,17505072.565855,,4
11846692.5879346,100.0,11846692.5879346,13979097.25376283,2015-09-29,2015-11-25 00:00:00,2015-10-14 00:00:00,44315044.43949044,52291752.43859872,2015-11-17 00:00:00,13869044.48849852,16365472.49642825,2015-11-25 00:00:00,4
785476.0444780309,100.0,785476.0444780309,926861.7324840764,2015-11-10,2015-12-30 00:00:00,2015-11-18 00:00:00,3284709.853503184,3875957.627133757,2015-11-30 00:00:00,2499233.809025154,2949095.894649681,2015-12-23 00:00:00,3
1744172.394904459,40.0,697668.9579617835,823249.3703949045,2015-11-01,2015-12-30 00:00:00,2015-11-11 00:00:00,1279869.248407643,1510245.713121019,2015-11-30 00:00:00,582200.2904458598,686996.3427261146,2015-12-30 00:00:00,1
47184413.32484076,50.0,23592206.66242038,27838803.86165605,2015-10-21,2015-12-30 00:00:00,2015-11-04 00:00:00,37061296.21019108,43732329.52802547,2015-11-30 00:00:00,13469089.5477707,15893525.66636942,2015-12-23 00:00:00,2
7970063.694267516,50.0,3985031.847133758,4702337.579617835,2015-10-21,2015-12-30 00:00:00,2015-11-04 00:00:00,8898449.152866242,10500170.00038217,2015-11-30 00:00:00,4913417.305732485,5797832.420764332,2015-12-23 00:00:00,2
18060015.87261147,100.0,18060015.87261147,21310818.72968153,2015-10-30,2015-12-30 00:00:00,2015-11-11 00:00:00,50228899.68152866,59270101.62420382,2015-11-30 00:00:00,14108867.93630572,16648464.16484076,2015-12-16 00:00:00,4
18060015.87261147,100.0,18060015.87261147,21310818.72968153,2015-10-30,2015-12-30 00:00:00,2015-11-18 00:00:00,48730471.78343949,57501956.70445859,2015-12-17 00:00:00,12610440.03821655,14880319.24509554,2015-12-23 00:00:00,4
7017165.065313613,33.07692307692307,2321062.290834503,2738853.503184713,2015-12-10,2016-01-27 00:00:00,2015-12-16 00:00:00,3307420.242038216,3902755.885605095,2015-12-31 00:00:00,986357.9512037137,1163902.382420382,2016-01-27 00:00:00,3
1471369.222929936,50.0,735684.6114649682,868107.8415286624,2015-12-01,2016-01-27 00:00:00,2015-12-16 00:00:00,1264061.541401274,1491592.618853503,2015-12-31 00:00:00,528376.9299363056,623484.7773248405,2016-01-27 00:00:00,1
41228279.03821656,50.0,20614139.51910828,24324684.63254777,2015-11-17,2016-01-27 00:00:00,2015-12-02 00:00:00,39309611.6178344,46385341.70904458,2015-12-31 00:00:00,18695472.09872612,22060657.07649681,2016-01-27 00:00:00,2
8618789.808917196,50.0,4309394.904458598,5085085.987261145,2015-11-17,2016-01-27 00:00:00,2015-12-02 00:00:00,9072292.92356688,10705305.64980892,2015-12-31 00:00:00,4762898.019108281,5620219.662547772,2016-01-27 00:00:00,2
17603191.17197452,100.0,17603191.17197452,20771765.58292994,2015-11-27,2015-12-23 00:00:00,2015-12-09 00:00:00,52963017.38853503,62496360.51847133,2015-12-31 00:00:00,17756635.04458599,20952829.35261146,,4
17603191.17197452,100.0,17603191.17197452,20771765.58292994,2015-11-27,2015-12-23 00:00:00,2015-12-16 00:00:00,52481919.87898088,61928665.45719744,2016-01-18 00:00:00,17275537.53503184,18616989.37159235,2016-01-27 00:00:00,4
2267084.098024398,35.71428571428572,809672.8921515708,955414.0127388535,2016-01-11,2016-02-24 00:00:00,2016-01-20 00:00:00,1276760.312101911,1506577.168280255,2016-01-31 00:00:00,467087.4199503401,551163.1555414011,2016-02-24 00:00:00,3
1336721.866242038,50.0,668360.9331210192,788665.9010828026,2016-01-01,2016-02-24 00:00:00,2016-01-13 00:00:00,1493712.044585987,1762580.212611465,2016-01-31 00:00:00,825351.1114649681,973914.3115286622,2016-02-24 00:00:00,1
38241370.3821656,50.0,19120685.1910828,22562408.5254777,2015-12-22,2016-02-24 00:00:00,2016-01-13 00:00:00,39220894.87898089,46280655.95719745,2016-01-31 00:00:00,20100209.68789809,23718247.43171975,2016-02-24 00:00:00,2
7543757.961783439,50.0,3771878.980891719,4450817.197452229,2015-12-22,2016-02-24 00:00:00,2016-01-13 00:00:00,9473197.318471337,11178372.83579618,2016-01-31 00:00:00,5701318.337579617,6727555.638343949,2016-02-24 00:00:00,2
18434705.15286624,100.0,18434705.15286624,21752952.08038216,2015-12-31,2016-01-27 00:00:00,2016-01-13 00:00:00,50986364.33121019,60163909.91082802,2016-01-31 00:00:00,20809808.76250558,24555574.33975658,,4
11741850.41583837,100.0,11741850.41583837,13855383.49068928,2015-12-31,2016-01-27 00:00:00,2016-01-20 00:00:00,51662880.87898089,60962199.43719745,2016-02-17 00:00:00,21486325.31027628,25353863.866126,2016-02-24 00:00:00,4
755694.6993414661,100.0,755694.6993414661,891719.7452229299,2016-02-10,2016-03-30 00:00:00,17.02.1016,1077666.955414013,1271647.007388535,2016-02-29 00:00:00,321972.2560725467,379927.2621656051,,3
1405598.299363057,47.54992471347503,668360.9331210192,788665.9010828026,2016-02-01,2016-03-30 00:00:00,2016-02-24 00:00:00,1381527.044585987,1630201.912611465,2016-02-29 00:00:00,713166.1114649681,841536.0115286622,2016-03-30 00:00:00,1
36794163.69426751,50.0,18397081.84713376,21708556.57961783,2016-01-21,2016-03-30 00:00:00,2016-02-10 00:00:00,36703469.28025478,43310093.75070064,2016-02-29 00:00:00,18306387.43312103,21601537.17108281,2016-03-23 00:00:00,2
7367675.159235668,50.0,3683837.579617834,4346928.343949044,2016-01-21,2016-03-30 00:00:00,2016-02-10 00:00:00,8688223.891719745,10252104.1922293,2016-02-29 00:00:00,5004386.312101912,5905175.848280255,2016-03-23 00:00:00,2
17175996.16560509,100.0,17175996.16560509,20267675.47541401,2016-01-28,2016-03-30 00:00:00,2016-02-10 00:00:00,47482066.87898089,56028838.91719744,2016-02-29 00:00:00,13130074.5477707,15493487.96636942,,4
17175996.16560509,100.0,17175996.16560509,20267675.47541401,2016-01-28,2016-03-30 00:00:00,2016-02-17 00:00:00,46633049.22292993,55026998.08305731,2016-03-17 00:00:00,12281056.89171974,14491647.13222929,2016-03-23 00:00:00,4
754366.8343949044,100.0,754366.8343949044,890152.8645859872,2016-03-17,2016-04-27 00:00:00,2016-03-23 00:00:00,1250792.375796178,1475935.00343949,2016-03-31 00:00:00,496425.5414012739,585782.1388535033,2016-04-27 00:00:00,3
1648865.184713376,66.0,1088251.021910828,1284136.205854777,2016-03-01,2016-04-27 00:00:00,2016-03-23 00:00:00,1237427.03821656,1460163.905095541,2016-03-31 00:00:00,149176.0163057325,176027.6992407644,2016-04-27 00:00:00,1
36203178.34394904,50.0,18101589.17197452,21359875.22292993,2016-02-18,2016-04-27 00:00:00,2016-03-16 00:00:00,37477296.6433121,44223210.03910827,2016-03-31 00:00:00,19375707.47133758,22863334.81617834,2016-04-20 00:00:00,2
7414012.738853503,50.0,3707006.369426751,4374267.515923566,2016-02-18,2016-04-27 00:00:00,2016-03-16 00:00:00,9036834.993630573,10663465.29248407,2016-03-31 00:00:00,5329828.624203822,6289197.776560509,2016-04-20 00:00:00,2
17312217.94267516,100.0,17312217.94267516,20428417.17235669,2016-02-26,2016-04-27 00:00:00,2016-03-09 00:00:00,50878674.20382165,60036835.56050955,2016-03-31 00:00:00,22539565.85179926,26596687.70512313,,4
11026890.40934723,100.0,11026890.40934723,13011730.68302974,2016-02-26,2016-04-27 00:00:00,2016-03-16 00:00:00,47740053.55414012,56333263.19388534,2016-04-18 00:00:00,19400945.20211773,22893115.33849892,2016-04-20 00:00:00,4
875554.6815286624,100.0,875554.6815286626,1033154.524203822,2016-04-11,2016-05-25 00:00:00,2016-04-27 00:00:00,1052473.694267516,1241918.959235669,2016-04-30 00:00:00,176919.0127388532,208764.4350318469,2016-05-27 00:00:00,3
1650631.140127389,66.0,1089416.552484076,1285511.53193121,2016-04-01,2016-05-25 00:00:00,2016-04-20 00:00:00,1095157.350318471,1292285.673375796,2016-04-30 00:00:00,5740.797834394732,6774.141444585985,2016-05-27 00:00:00,1
33529770.70063694,50.0,16764885.35031847,19782564.7133758,2016-03-17,2016-05-25 00:00:00,2016-04-06 00:00:00,33716496.82165605,39785466.24955413,2016-04-30 00:00:00,16951611.47133758,20002901.53617834,2016-05-27 00:00:00,2
7388566.878980892,50.0,3694283.439490446,4359254.458598725,2016-03-17,2016-05-25 00:00:00,2016-04-06 00:00:00,8512864.452229299,10045180.05363057,2016-04-30 00:00:00,4818581.012738853,5685925.595031846,2016-05-27 00:00:00,2
16365203.2611465,100.0,16365203.2611465,19310939.84815286,2016-03-30,2016-04-27 00:00:00,2016-04-13 00:00:00,43456585.98726115,51278771.46496815,2016-04-30 00:00:00,16667686.38143535,19667869.93009372,,4
10423696.3446793,100.0,10423696.3446793,12299961.68672157,2016-03-30,2016-04-27 00:00:00,2016-04-20 00:00:00,43173710.91082802,50944978.87477706,2016-05-17 00:00:00,16384811.30500223,19334077.33990263,2016-05-27 00:00:00,4
736731.6178343949,100.0,736731.6178343949,869343.3090445859,2016-05-10,2016-06-29 00:00:00,2016-05-27 00:00:00,1079408.675159236,1273702.236687898,2016-05-31 00:00:00,342677.0573248408,404358.9276433123,2016-06-29 00:00:00,3
1511663.152866242,66.0,997697.6808917196,1177283.263452229,2016-05-01,2016-06-29 00:00:00,2016-06-01 00:00:00,1271913.337579618,1500857.738343949,2016-05-31 00:00:00,274215.6566878981,323574.4748917199,2016-06-29 00:00:00,1
34320592.99363057,50.0,17160296.49681529,20249149.86624204,2016-04-18,2016-06-29 00:00:00,2016-05-04 00:00:00,33340667.18471337,39341987.27796178,2016-05-31 00:00:00,16180370.68789808,19092837.41171974,2016-06-22 00:00:00,2
7480350.318471338,50.0,3740175.159235669,4413406.687898089,2016-04-18,2016-06-29 00:00:00,2016-05-04 00:00:00,8268638.815286623,9756993.802038215,2016-05-31 00:00:00,4528463.656050954,5343587.114140126,2016-07-06 00:00:00,2
16045087.47133758,100.0,16045087.47133758,18933203.21617834,2016-04-28,2016-05-25 00:00:00,2016-05-11 00:00:00,43118591.08280255,50879937.47770701,2016-05-31 00:00:00,11028416.14012739,13013531.04535032,,4
16045087.47133758,100.0,16045087.47133758,18933203.21617834,2016-04-28,2016-05-25 00:00:00,2016-05-18 00:00:00,44088770.66878981,52024749.38917197,2016-06-17 00:00:00,11998595.72611465,14158342.95681529,2016-06-22 00:00:00,4
232554.7133757962,100.0,232554.7133757962,274414.5617834394,2016-06-17,2016-07-27 00:00:00,2016-06-29 00:00:00,923470.4522292993,1089695.133630573,2016-06-30 00:00:00,690915.7388535033,815280.5718471338,2016-07-27 00:00:00,3
1428453.847133758,66.0,942779.5391082803,1112479.856147771,2016-06-01,2016-07-27 00:00:00,2016-06-15 00:00:00,1079083.808917197,1273318.894522293,2016-06-30 00:00:00,136304.2698089171,160839.038374522,2016-07-27 00:00:00,1
32952129.93630573,50.0,16476064.96815287,19441756.66242038,2016-05-18,2016-07-27 00:00:00,2016-06-08 00:00:00,30223558.91082802,35663799.51477706,2016-06-30 00:00:00,13747493.94267516,16222042.85235668,2016-07-27 00:00:00,2
7480350.318471338,50.0,3740175.159235669,4413406.687898089,2016-05-18,2016-07-27 00:00:00,2016-06-08 00:00:00,7504655.490445859,8855493.478726113,2016-06-30 00:00:00,3764480.33121019,4442086.790828024,2016-07-27 00:00:00,2
14849966.43312102,100.0,14849966.43312102,17522960.3910828,2016-05-31,2016-06-29 00:00:00,2016-06-08 00:00:00,40638958.59872612,47953971.14649682,2016-06-30 00:00:00,10939025.73248408,12908050.36433122,,4
14849966.43312102,100.0,14849966.43312102,17522960.3910828,2016-05-31,2016-06-29 00:00:00,2016-06-15 00:00:00,39199366.82165605,46255252.84955414,2016-07-18 00:00:00,9499433.95541401,11209332.06738853,,4
743853.9512037138,100.0,743853.9512037138,877747.6624203823,2016-07-10,2016-08-31 00:00:00,2016-07-13 00:00:00,816366.6088535031,963312.5984471337,2016-07-31 00:00:00,72512.65764978935,85564.93602675141,2016-08-31 00:00:00,3
1665863.343949045,66.0,1099469.807006369,1297374.372267516,2016-07-01,2016-08-31 00:00:00,2016-07-13 00:00:00,1063928.910828025,1255436.11477707,2016-07-31 00:00:00,-35540.89617834403,-41938.25749044609,без оплаты,1
35897298.08917198,50.0,17948649.04458599,21179405.87261146,2016-06-14,2016-08-31 00:00:00,2016-07-06 00:00:00,31301250.36942675,36935475.43592356,31.06.2016,13352601.32484076,15756069.5633121,2016-08-24 00:00:00,2
8506337.579617834,50.0,4253168.789808917,5018739.171974522,2016-06-14,2016-08-31 00:00:00,2016-07-06 00:00:00,7750160.095541401,9145188.912738852,31.06.2016,3496991.305732484,4126449.74076433,2016-08-24 00:00:00,2
16440788.98089172,100.0,16440788.98089172,19400130.99745223,2016-06-29,2016-07-27 00:00:00,2016-07-13 00:00:00,42196064.33121019,49791355.91082802,2016-07-31 00:00:00,15283435.23510081,18034453.57741895,,4
